,remark,price,title,flavour,environment,service
0,664,81,大院火老火锅(春熙路店),9.0,9.1,9.1
1,701,111,大侠行江湖火锅(春熙店),8.7,9.3,9.0
2,491,67,华兴九号辣铺(春熙总店),8.6,9.2,9.0
3,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9
4,675,87,月满大江火锅(总府路店),9.0,9.1,8.9
5,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3
6,278,96,鲜炎·炭火火锅,8.1,8.8,8.1
7,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6
8,1260,75,码头故事火锅(春熙路店),8.8,9.1,8.9
9,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,8.6
10,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,7.7
11,2139,90,春熙里老火锅(春熙总店),8.5,9.0,8.6
12,1723,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9
13,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,7.8
14,1244,86,醉码头火锅(春熙路店),8.8,9.1,8.6
15,280,125,大妙火锅(太古里店),8.4,9.1,8.4
16,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,8.5
17,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3
18,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8
19,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8
20,1632,78,野兽花园重庆火锅(太古里店),8.0,8.8,8.1
21,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,7.8
22,145,68,老重庆金三角串串香,7.7,7.0,7.4
23,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,8.8
24,82,76,小春熙老火锅(春熙路店),8.9,9.1,8.7
25,112,63,蜀财神火锅,9.0,9.1,8.9
26,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,8.1
27,1,,谭二师路边麻辣烫,7.6,7.6,7.6
28,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
29,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
30,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
31,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
32,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
33,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
34,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
35,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
36,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
37,641,88,红鼎坊(总店),8.2,8.0,7.9
38,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
39,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
40,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
41,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
42,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
43,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
44,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
45,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
46,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
47,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
48,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
49,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
50,10,,春熙里老火锅,7.6,7.8,7.7
51,31,119,川家铺子火锅,6.9,7.2,7.1
52,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
53,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
54,276,68,锦园火锅,7.2,8.3,7.7
55,4,,大龙火锅,6.9,6.9,6.9
56,26,40,逗士香砂锅串串,7.1,7.0,7.2
57,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
58,2,,四川宾馆南楼,6.8,6.8,6.8
59,1,,小涮锅,6.9,7.0,6.9
60,12,,大蜀龙门火锅(春熙总店),7.0,7.1,6.8
61,339,65,雷火锅新派串串(太古里店),9.0,8.7,8.8
62,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,8.4
63,203,73,红花椒新火锅(春熙路店),7.6,7.8,7.9
64,118,81,摆渡人老火锅铺,7.4,7.5,7.5
65,664,81,大院火老火锅(春熙路店),9.0,9.1,9.1
66,701,111,大侠行江湖火锅(春熙店),8.7,9.3,9.0
67,491,67,华兴九号辣铺(春熙总店),8.6,9.2,9.0
68,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9
69,675,87,月满大江火锅(总府路店),9.0,9.1,8.9
70,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3
71,278,96,鲜炎·炭火火锅,8.1,8.8,8.1
72,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6
73,1260,75,码头故事火锅(春熙路店),8.8,9.1,8.9
74,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,8.6
75,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,7.7
76,2139,90,春熙里老火锅(春熙总店),8.5,9.0,8.6
77,1723,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9
78,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,7.8
79,1244,86,醉码头火锅(春熙路店),8.8,9.1,8.6
80,280,125,大妙火锅(太古里店),8.4,9.1,8.4
81,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,8.5
82,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3
83,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8
84,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8
85,1632,78,野兽花园重庆火锅(太古里店),8.0,8.8,8.1
86,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,7.8
87,145,68,老重庆金三角串串香,7.7,7.0,7.4
88,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,8.8
89,82,76,小春熙老火锅(春熙路店),8.9,9.1,8.7
90,112,63,蜀财神火锅,9.0,9.1,8.9
91,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,8.1
92,1,,谭二师路边麻辣烫,7.6,7.6,7.6
93,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
94,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
95,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
96,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
97,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
98,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
99,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
100,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
101,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
102,641,88,红鼎坊(总店),8.2,8.0,7.9
103,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
104,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
105,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
106,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
107,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
108,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
109,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
110,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
111,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
112,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
113,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
114,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
115,10,,春熙里老火锅,7.6,7.8,7.7
116,31,119,川家铺子火锅,6.9,7.2,7.1
117,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
118,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
119,276,68,锦园火锅,7.2,8.3,7.7
120,4,,大龙火锅,6.9,6.9,6.9
121,26,40,逗士香砂锅串串,7.1,7.0,7.2
122,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
123,2,,四川宾馆南楼,6.8,6.8,6.8
124,1,,小涮锅,6.9,7.0,6.9
125,12,,大蜀龙门火锅(春熙总店),7.0,7.1,6.8
126,339,65,雷火锅新派串串(太古里店),9.0,8.7,8.8
127,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,8.4
128,203,73,红花椒新火锅(春熙路店),7.6,7.8,7.9
129,118,81,摆渡人老火锅铺,7.4,7.5,7.5
130,664,81,大院火老火锅(春熙路店),9.0,9.1,9.1
131,701,111,大侠行江湖火锅(春熙店),8.7,9.3,9.0
132,491,67,华兴九号辣铺(春熙总店),8.6,9.2,9.0
133,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9
134,675,87,月满大江火锅(总府路店),9.0,9.1,8.9
135,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3
136,278,96,鲜炎·炭火火锅,8.1,8.8,8.1
137,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6
138,1260,75,码头故事火锅(春熙路店),8.8,9.1,8.9
139,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,8.6
140,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,7.7
141,2139,90,春熙里老火锅(春熙总店),8.5,9.0,8.6
142,1723,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9
143,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,7.8
144,1244,86,醉码头火锅(春熙路店),8.8,9.1,8.6
145,280,125,大妙火锅(太古里店),8.4,9.1,8.4
146,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,8.5
147,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3
148,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8
149,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8
150,1632,78,野兽花园重庆火锅(太古里店),8.0,8.8,8.1
151,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,7.8
152,145,68,老重庆金三角串串香,7.7,7.0,7.4
153,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,8.8
154,82,76,小春熙老火锅(春熙路店),8.9,9.1,8.7
155,112,63,蜀财神火锅,9.0,9.1,8.9
156,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,8.1
157,1,,谭二师路边麻辣烫,7.6,7.6,7.6
158,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
159,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
160,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
161,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
162,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
163,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
164,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
165,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
166,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
167,641,88,红鼎坊(总店),8.2,8.0,7.9
168,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
169,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
170,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
171,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
172,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
173,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
174,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
175,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
176,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
177,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
178,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
179,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
180,10,,春熙里老火锅,7.6,7.8,7.7
181,31,119,川家铺子火锅,6.9,7.2,7.1
182,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
183,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
184,276,68,锦园火锅,7.2,8.3,7.7
185,4,,大龙火锅,6.9,6.9,6.9
186,26,40,逗士香砂锅串串,7.1,7.0,7.2
187,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
188,2,,四川宾馆南楼,6.8,6.8,6.8
189,1,,小涮锅,6.9,7.0,6.9
190,12,,大蜀龙门火锅(春熙总店),7.0,7.1,6.8
191,339,65,雷火锅新派串串(太古里店),9.0,8.7,8.8
192,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,8.4
193,203,73,红花椒新火锅(春熙路店),7.6,7.8,7.9
194,118,81,摆渡人老火锅铺,7.4,7.5,7.5
195,664,,大院火老火锅(春熙路店),,,
196,701,,大侠行江湖火锅(春熙店),,,
197,491,,华兴九号辣铺(春熙总店),,,
198,1515,,蜀韵蜀味火锅(春熙店),,,
199,675,,月满大江火锅(总府路店),,,
200,1460,,蜀小匠牛排火锅(春熙路总店),,,
201,278,,鲜炎·炭火火锅,,,
202,1266,,凤望龙门老火锅(盐市口概念店),,,
203,1260,,码头故事火锅(春熙路店),,,
204,3437,,凤望龙门老火锅(春熙店),,,
205,1416,,有拈头成都市井火锅(太古里店),,,
206,2139,,春熙里老火锅(春熙总店),,,
207,1723,,蜀胡记川西坝子(东门大桥店),,,
208,1182,,重庆袁老四老火锅(香槟店),,,
209,1244,,醉码头火锅(春熙路店),,,
210,280,,大妙火锅(太古里店),,,
211,3323,,巴蜀大将火锅(春熙店),,,
212,69,,大蜀龙门火锅(红星路二段总店),,,
213,868,,塘门英雄·美蛙鱼头火锅(春熙路店),,,
214,709,,龙门飞鱼美蛙鱼头火锅(春熙店),,,
215,1632,,野兽花园重庆火锅(太古里店),,,
216,2535,,重庆袁老四老火锅(东升店),,,
217,145,,老重庆金三角串串香,,,
218,1707,,巴蜀大将火锅(IFS店),,,
219,82,,小春熙老火锅(春熙路店),,,
220,112,,蜀财神火锅,,,
221,807,,重庆袁老四老火锅(太古里店),,,
222,664,81,大院火老火锅(春熙路店),9.0,9.1,9.1
223,701,111,大侠行江湖火锅(春熙店),8.7,9.3,9.0
224,491,67,华兴九号辣铺(春熙总店),8.6,9.2,9.0
225,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9
226,675,87,月满大江火锅(总府路店),9.0,9.1,8.9
227,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3
228,278,96,鲜炎·炭火火锅,8.1,8.8,8.1
229,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6
230,1260,75,码头故事火锅(春熙路店),8.8,9.1,8.9
231,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,8.6
232,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,7.7
233,2139,90,春熙里老火锅(春熙总店),8.5,9.0,8.6
234,1723,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9
235,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,7.8
236,1244,86,醉码头火锅(春熙路店),8.8,9.1,8.6
237,280,125,大妙火锅(太古里店),8.4,9.1,8.4
238,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,8.5
239,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3
240,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8
241,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8
242,1632,78,野兽花园重庆火锅(太古里店),8.0,8.8,8.1
243,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,7.8
244,145,68,老重庆金三角串串香,7.7,7.0,7.4
245,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,8.8
246,82,76,小春熙老火锅(春熙路店),8.9,9.1,8.7
247,112,63,蜀财神火锅,9.0,9.1,8.9
248,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,8.1
249,1,,谭二师路边麻辣烫,7.6,7.6,7.6
250,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
251,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
252,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
253,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
254,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
255,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
256,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
257,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
258,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
259,641,88,红鼎坊(总店),8.2,8.0,7.9
260,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
261,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
262,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
263,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
264,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
265,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
266,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
267,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
268,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
269,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
270,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
271,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
272,10,,春熙里老火锅,7.6,7.8,7.7
273,31,119,川家铺子火锅,6.9,7.2,7.1
274,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
275,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
276,276,68,锦园火锅,7.2,8.3,7.7
277,4,,大龙火锅,6.9,6.9,6.9
278,26,40,逗士香砂锅串串,7.1,7.0,7.2
279,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
280,2,,四川宾馆南楼,6.8,6.8,6.8
281,1,,小涮锅,6.9,7.0,6.9
282,12,,大蜀龙门火锅(春熙总店),7.0,7.1,6.8
283,339,65,雷火锅新派串串(太古里店),9.0,8.7,8.8
284,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,8.4
285,203,73,红花椒新火锅(春熙路店),7.6,7.8,7.9
286,118,81,摆渡人老火锅铺,7.4,7.5,7.5
287,664,,大院火老火锅(春熙路店),,,
288,701,,大侠行江湖火锅(春熙店),,,
289,491,,华兴九号辣铺(春熙总店),,,
290,1515,,蜀韵蜀味火锅(春熙店),,,
291,675,,月满大江火锅(总府路店),,,
292,1460,,蜀小匠牛排火锅(春熙路总店),,,
293,278,,鲜炎·炭火火锅,,,
294,1266,,凤望龙门老火锅(盐市口概念店),,,
295,1260,,码头故事火锅(春熙路店),,,
296,3437,,凤望龙门老火锅(春熙店),,,
297,1416,,有拈头成都市井火锅(太古里店),,,
298,2139,,春熙里老火锅(春熙总店),,,
299,1723,,蜀胡记川西坝子(东门大桥店),,,
300,1182,,重庆袁老四老火锅(香槟店),,,
301,1244,,醉码头火锅(春熙路店),,,
302,280,,大妙火锅(太古里店),,,
303,3323,,巴蜀大将火锅(春熙店),,,
304,69,,大蜀龙门火锅(红星路二段总店),,,
305,868,,塘门英雄·美蛙鱼头火锅(春熙路店),,,
306,709,,龙门飞鱼美蛙鱼头火锅(春熙店),,,
307,1632,,野兽花园重庆火锅(太古里店),,,
308,2535,,重庆袁老四老火锅(东升店),,,
309,145,,老重庆金三角串串香,,,
310,1707,,巴蜀大将火锅(IFS店),,,
311,82,,小春熙老火锅(春熙路店),,,
312,112,,蜀财神火锅,,,
313,807,,重庆袁老四老火锅(太古里店),,,
